X,Y,Z,R,G,B
29.88,49.40,81.52,1.00,0.00,0.00
34.09,49.96,86.44,1.00,0.00,0.00
37.56,48.64,81.81,1.00,0.00,0.00
40.66,46.49,84.40,1.00,0.00,0.00
43.55,49.53,85.07,1.00,0.00,0.00
44.64,46.43,87.04,1.00,0.00,0.00
46.48,43.99,89.25,1.00,0.00,0.00
43.54,38.30,89.48,1.00,0.00,0.00
44.29,41.83,94.65,1.00,0.00,0.00
46.15,38.60,96.50,1.00,0.00,0.00
47.66,40.56,100.01,1.00,0.00,0.00
49.66,36.89,101.19,1.00,0.00,0.00
49.56,39.65,104.77,1.00,0.00,0.00
30.16,58.20,87.41,1.00,0.00,0.00
-21.87,85.70,70.25,1.00,0.00,0.00
